n_total,27107
n_saved_reported,8192
timclk,72000000
etr_count,27109

index,width_ticks,width_ns
973,144,2000
974,125,1736
975,114,1583
976,129,1791
977,124,1722
978,106,1472
979,113,1569
980,126,1750
981,110,1527
982,142,1972
983,117,1625
984,109,1513
985,133,1847
986,111,1541
987,107,1486
988,110,1527
989,107,1486
990,90,1250
991,108,1500
992,95,1319
993,89,1236
994,113,1569
995,88,1222
996,87,1208
997,129,1791
998,121,1680
999,86,1194
1000,110,1527
1001,90,1250
1002,127,1763
1003,78,1083
1004,82,1138
1005,127,1763
1006,142,1972
1007,116,1611
1008,116,1611
1009,86,1194
1010,115,1597
1011,99,1375
1012,129,1791
1013,120,1666
1014,95,1319
1015,95,1319
1016,66,916
1017,101,1402
1018,115,1597
1019,102,1416
1020,129,1791
1021,125,1736
1022,162,2250
1023,103,1430
1024,101,1402
1025,105,1458
1026,132,1833
1027,94,1305
1028,89,1236
1029,91,1263
1030,114,1583
1031,109,1513
1032,95,1319
1033,87,1208
1034,98,1361
1035,126,1750
1036,127,1763
1037,79,1097
1038,128,1777
1039,113,1569
1040,104,1444
1041,130,1805
1042,100,1388
1043,85,1180
1044,93,1291
1045,95,1319
1046,111,1541
1047,85,1180
1048,115,1597
1049,151,2097
1050,97,1347
1051,125,1736
1052,118,1638
1053,107,1486
1054,95,1319
1055,121,1680
1056,115,1597
1057,100,1388
1058,127,1763
1059,130,1805
1060,93,1291
1061,120,1666
1062,128,1777
1063,111,1541
1064,117,1625
1065,79,1097
1066,142,1972
1067,129,1791
1068,97,1347
1069,108,1500
1070,76,1055
1071,118,1638
1072,90,1250
1073,123,1708
1074,118,1638
1075,134,1861
1076,118,1638
1077,138,1916
1078,140,1944
1079,109,1513
1080,106,1472
1081,91,1263
1082,98,1361
1083,104,1444
1084,107,1486
1085,106,1472
1086,119,1652
1087,113,1569
1088,126,1750
1089,98,1361
1090,113,1569
1091,109,1513
1092,139,1930
1093,151,2097
1094,104,1444
1095,73,1013
1096,81,1125
1097,148,2055
1098,99,1375
1099,144,2000
1100,128,1777
1101,125,1736
1102,153,2125
1103,101,1402
1104,91,1263
1105,102,1416
1106,139,1930
1107,100,1388
1108,113,1569
1109,82,1138
1110,134,1861
1111,123,1708
1112,111,1541
1113,114,1583
1114,114,1583
1115,118,1638
1116,112,1555
1117,128,1777
1118,105,1458
1119,105,1458
1120,108,1500
1121,114,1583
1122,106,1472
1123,96,1333
1124,111,1541
1125,97,1347
1126,88,1222
1127,149,2069
1128,101,1402
1129,80,1111
1130,95,1319
1131,88,1222
1132,131,1819
1133,98,1361
1134,131,1819
1135,141,1958
1136,105,1458
1137,102,1416
1138,151,2097
1139,74,1027
1140,120,1666
1141,143,1986
1142,84,1166
1143,107,1486
1144,103,1430
1145,121,1680
1146,126,1750
1147,107,1486
1148,100,1388
1149,109,1513
1150,109,1513
1151,102,1416
1152,123,1708
1153,84,1166
1154,104,1444
1155,108,1500
1156,114,1583
1157,123,1708
1158,130,1805
1159,122,1694
1160,98,1361
1161,114,1583
1162,118,1638
1163,66,916
1164,101,1402
1165,118,1638
1166,109,1513
1167,116,1611
1168,109,1513
1169,121,1680
1170,117,1625
1171,120,1666
1172,118,1638
1173,78,1083
1174,94,1305
1175,102,1416
1176,124,1722
1177,113,1569
1178,85,1180
1179,86,1194
1180,112,1555
1181,134,1861
1182,116,1611
1183,127,1763
1184,101,1402
1185,120,1666
1186,108,1500
1187,131,1819
1188,108,1500
1189,111,1541
1190,88,1222
1191,99,1375
1192,118,1638
1193,105,1458
1194,147,2041
1195,109,1513
1196,108,1500
1197,100,1388
1198,108,1500
1199,77,1069
1200,118,1638
1201,115,1597
1202,143,1986
1203,84,1166
1204,108,1500
1205,141,1958
1206,116,1611
1207,104,1444
1208,104,1444
1209,118,1638
1210,86,1194
1211,102,1416
1212,132,1833
1213,116,1611
1214,102,1416
1215,99,1375
1216,100,1388
1217,97,1347
1218,79,1097
1219,108,1500
1220,108,1500
1221,104,1444
1222,89,1236
1223,124,1722
1224,91,1263
1225,110,1527
1226,89,1236
1227,114,1583
1228,116,1611
1229,98,1361
1230,99,1375
1231,124,1722
1232,84,1166
1233,112,1555
1234,89,1236
1235,107,1486
1236,138,1916
1237,110,1527
1238,118,1638
1239,100,1388
1240,114,1583
1241,105,1458
1242,121,1680
1243,98,1361
1244,124,1722
1245,113,1569
1246,85,1180
1247,130,1805
1248,80,1111
1249,111,1541
1250,95,1319
1251,103,1430
1252,98,1361
1253,101,1402
1254,93,1291
1255,105,1458
1256,107,1486
1257,97,1347
1258,115,1597
1259,102,1416
1260,107,1486
1261,227,3152
1262,109,1513
1263,97,1347
1264,127,1763
1265,120,1666
1266,114,1583
1267,92,1277
1268,131,1819
1269,106,1472
1270,114,1583
1271,102,1416
1272,88,1222
1273,107,1486
1274,119,1652
1275,114,1583
1276,125,1736
1277,124,1722
1278,107,1486
1279,86,1194
1280,90,1250
1281,108,1500
1282,99,1375
1283,134,1861
1284,124,1722
1285,87,1208
1286,96,1333
1287,108,1500
1288,120,1666
1289,111,1541
1290,78,1083
1291,98,1361
1292,115,1597
1293,97,1347
1294,113,1569
1295,160,2222
1296,105,1458
1297,132,1833
1298,123,1708
1299,89,1236
1300,100,1388
1301,94,1305
1302,103,1430
1303,120,1666
1304,76,1055
1305,128,1777
1306,126,1750
1307,124,1722
1308,128,1777
1309,97,1347
1310,119,1652
1311,120,1666
1312,94,1305
1313,88,1222
1314,121,1680
1315,118,1638
1316,97,1347
1317,111,1541
1318,147,2041
1319,127,1763
1320,88,1222
1321,100,1388
1322,96,1333
1323,116,1611
1324,142,1972
1325,89,1236
1326,128,1777
1327,96,1333
1328,81,1125
1329,100,1388
1330,85,1180
1331,60,833
1332,102,1416
1333,119,1652
1334,127,1763
1335,124,1722
1336,116,1611
1337,132,1833
1338,100,1388
1339,121,1680
1340,101,1402
1341,120,1666
