cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
422,1,57,57,57,57,
423,1,63,63,63,63,
424,1,47,47,47,47,
425,1,47,47,47,47,
426,1,47,47,47,47,
427,1,50,50,50,50,
428,1,54,54,54,54,
429,1,56,56,56,56,
430,1,53,53,53,53,
431,1,52,52,52,52,
432,1,46,46,46,46,
433,1,67,67,67,67,
434,1,51,51,51,51,
435,1,59,59,59,59,
436,1,58,58,58,58,
437,1,67,67,67,67,
438,1,55,55,55,55,
439,1,62,62,62,62,
440,1,50,50,50,50,
441,1,58,58,58,58,
442,1,57,57,57,57,
443,1,60,60,60,60,
444,1,49,49,49,49,
445,1,50,50,50,50,
446,1,55,55,55,55,
447,1,50,50,50,50,
448,1,52,52,52,52,
449,1,57,57,57,57,
450,1,54,54,54,54,
451,1,62,62,62,62,
452,1,49,49,49,49,
453,1,48,48,48,48,
454,1,65,65,65,65,
455,1,52,52,52,52,
456,1,48,48,48,48,
457,1,61,61,61,61,
458,1,42,42,42,42,
459,1,56,56,56,56,
460,1,57,57,57,57,
461,1,54,54,54,54,
462,1,59,59,59,59,
463,1,54,54,54,54,
464,1,57,57,57,57,
465,1,63,63,63,63,
466,1,46,46,46,46,
467,1,65,65,65,65,
468,1,53,53,53,53,
469,1,54,54,54,54,
470,1,51,51,51,51,
471,1,51,51,51,51,
472,1,60,60,60,60,
473,1,51,51,51,51,
474,1,53,53,53,53,
475,1,69,69,69,69,
476,1,58,58,58,58,
477,1,73,73,73,73,
478,1,61,61,61,61,
479,1,50,50,50,50,
480,1,58,58,58,58,
481,1,49,49,49,49,
482,1,47,47,47,47,
483,1,50,50,50,50,
484,1,47,47,47,47,
485,1,60,60,60,60,
486,1,59,59,59,59,
487,1,63,63,63,63,
488,1,49,49,49,49,
489,1,60,60,60,60,
490,1,48,48,48,48,
491,1,55,55,55,55,
492,1,39,39,39,39,
493,1,58,58,58,58,
494,1,62,62,62,62,
495,1,46,46,46,46,
496,1,52,52,52,52,
497,1,54,54,54,54,
498,1,66,66,66,66,
499,1,63,63,63,63,
500,1,42,42,42,42,
501,1,56,56,56,56,
502,1,57,57,57,57,
503,1,44,44,44,44,
504,1,58,58,58,58,
505,1,55,55,55,55,
506,1,53,53,53,53,
507,1,43,43,43,43,
508,1,46,46,46,46,
509,1,51,51,51,51,
510,1,50,50,50,50,
511,1,61,61,61,61,
512,1,60,60,60,60,
513,1,42,42,42,42,
514,1,50,50,50,50,
515,1,44,44,44,44,
516,1,49,49,49,49,
517,1,46,46,46,46,
518,1,53,53,53,53,
519,1,51,51,51,51,
520,1,59,59,59,59,
521,1,51,51,51,51,
522,1,56,56,56,56,
523,1,49,49,49,49,
524,1,45,45,45,45,
525,1,51,51,51,51,
526,1,57,57,57,57,
527,1,50,50,50,50,
528,1,48,48,48,48,
529,1,65,65,65,65,
530,1,37,37,37,37,
531,1,45,45,45,45,
532,1,51,51,51,51,
533,1,52,52,52,52,
534,1,52,52,52,52,
535,1,47,47,47,47,
536,1,62,62,62,62,
537,1,53,53,53,53,
538,1,63,63,63,63,
539,1,52,52,52,52,
540,1,51,51,51,51,
541,1,50,50,50,50,
542,1,49,49,49,49,
543,1,50,50,50,50,
544,1,43,43,43,43,
545,1,47,47,47,47,
546,1,60,60,60,60,
547,1,53,53,53,53,
548,1,53,53,53,53,
549,1,53,53,53,53,
550,1,46,46,46,46,
551,1,50,50,50,50,
552,1,58,58,58,58,
553,1,64,64,64,64,
554,1,46,46,46,46,
555,1,53,53,53,53,
556,1,44,44,44,44,
557,1,63,63,63,63,
558,1,63,63,63,63,
559,1,59,59,59,59,
560,1,46,46,46,46,
561,1,45,45,45,45,
562,1,54,54,54,54,
563,1,59,59,59,59,
564,1,68,68,68,68,
565,1,59,59,59,59,
566,1,52,52,52,52,
567,1,62,62,62,62,
568,1,72,72,72,72,
569,1,49,49,49,49,
570,1,55,55,55,55,
571,1,54,54,54,54,
572,1,50,50,50,50,
573,1,64,64,64,64,
574,1,52,52,52,52,
575,1,51,51,51,51,
576,1,42,42,42,42,
577,1,47,47,47,47,
578,1,52,52,52,52,
579,1,59,59,59,59,
580,1,58,58,58,58,
581,1,65,65,65,65,
582,1,48,48,48,48,
583,1,58,58,58,58,
584,1,59,59,59,59,
585,1,52,52,52,52,
586,1,45,45,45,45,
587,1,50,50,50,50,
588,1,53,53,53,53,
589,1,42,42,42,42,
590,1,48,48,48,48,
591,1,65,65,65,65,
592,1,58,58,58,58,
593,1,66,66,66,66,
594,1,49,49,49,49,
595,1,40,40,40,40,
596,1,48,48,48,48,
597,1,55,55,55,55,
598,1,53,53,53,53,
599,1,61,61,61,61,
600,1,53,53,53,53,
601,1,61,61,61,61,
602,1,55,55,55,55,
603,1,55,55,55,55,
604,1,49,49,49,49,
605,1,61,61,61,61,
606,1,50,50,50,50,
607,1,53,53,53,53,
608,1,56,56,56,56,
609,1,61,61,61,61,
610,1,48,48,48,48,
611,1,61,61,61,61,
612,1,59,59,59,59,
613,1,47,47,47,47,
614,1,54,54,54,54,
615,1,45,45,45,45,
616,1,51,51,51,51,
617,1,63,63,63,63,
618,1,54,54,54,54,
619,1,52,52,52,52,
620,1,52,52,52,52,
621,1,57,57,57,57,
622,1,49,49,49,49,
623,1,71,71,71,71,
624,1,45,45,45,45,
625,1,51,51,51,51,
626,1,52,52,52,52,
627,1,57,57,57,57,
628,1,48,48,48,48,
629,1,51,51,51,51,

width_rows
cycle,index,width_ticks,width_ns
1,0,120,1666
1,1,114,1583
1,2,105,1458
1,3,126,1750
1,4,111,1541
1,5,100,1388
1,6,106,1472
1,7,76,1055
1,8,111,1541
1,9,114,1583
1,10,84,1166
1,11,127,1763
1,12,127,1763
1,13,110,1527
1,14,77,1069
1,15,103,1430
1,16,94,1305
1,17,137,1902
1,18,97,1347
1,19,115,1597
1,20,134,1861
1,21,91,1263
1,22,77,1069
1,23,125,1736
1,24,108,1500
1,25,119,1652
1,26,91,1263
1,27,100,1388
1,28,106,1472
1,29,106,1472
1,30,142,1972
1,31,115,1597
1,32,115,1597
1,33,106,1472
1,34,92,1277
1,35,109,1513
1,36,119,1652
1,37,99,1375
1,38,124,1722
1,39,108,1500
1,40,128,1777
1,41,163,2263
1,42,98,1361
1,43,49,680
1,44,116,1611
1,45,101,1402
1,46,94,1305
1,47,67,930
1,48,110,1527
1,49,97,1347
1,50,83,1152
1,51,115,1597
1,52,98,1361
1,53,66,916
1,54,110,1527
1,55,136,1888
2,0,97,1347
2,1,171,2375
2,2,98,1361
2,3,92,1277
2,4,106,1472
2,5,119,1652
2,6,96,1333
2,7,98,1361
2,8,116,1611
2,9,104,1444
2,10,97,1347
2,11,87,1208
2,12,108,1500
2,13,81,1125
2,14,92,1277
2,15,92,1277
2,16,158,2194
2,17,116,1611
2,18,93,1291
2,19,114,1583
2,20,137,1902
2,21,144,2000
2,22,116,1611
2,23,73,1013
2,24,110,1527
2,25,92,1277
2,26,119,1652
2,27,103,1430
2,28,129,1791
2,29,80,1111
2,30,111,1541
2,31,130,1805
2,32,117,1625
2,33,134,1861
2,34,94,1305
2,35,123,1708
2,36,78,1083
2,37,112,1555
2,38,90,1250
2,39,135,1875
2,40,90,1250
2,41,114,1583
2,42,87,1208
2,43,80,1111
2,44,126,1750
2,45,87,1208
2,46,103,1430
2,47,116,1611
2,48,116,1611
2,49,89,1236
2,50,107,1486
2,51,115,1597
2,52,101,1402
2,53,96,1333
3,0,120,1666
3,1,140,1944
3,2,113,1569
3,3,109,1513
3,4,102,1416
3,5,117,1625
3,6,112,1555
3,7,98,1361
3,8,116,1611
3,9,100,1388
3,10,103,1430
3,11,81,1125
3,12,140,1944
3,13,133,1847
3,14,94,1305
3,15,90,1250
3,16,93,1291
3,17,131,1819
3,18,107,1486
3,19,171,2375
3,20,109,1513
3,21,105,1458
3,22,103,1430
3,23,108,1500
3,24,121,1680
3,25,136,1888
3,26,104,1444
3,27,127,1763
3,28,90,1250
3,29,88,1222
3,30,112,1555
3,31,76,1055
3,32,119,1652
3,33,120,1666
3,34,119,1652
3,35,118,1638
3,36,107,1486
3,37,104,1444
3,38,139,1930
3,39,82,1138
3,40,108,1500
3,41,79,1097
3,42,107,1486
3,43,116,1611
3,44,115,1597
3,45,100,1388
3,46,136,1888
3,47,91,1263
3,48,123,1708
3,49,132,1833
3,50,86,1194
3,51,125,1736
3,52,92,1277
3,53,156,2166
3,54,133,1847
3,55,112,1555
3,56,99,1375
3,57,105,1458
3,58,90,1250
3,59,148,2055
3,60,113,1569
3,61,134,1861
3,62,123,1708
4,0,104,1444
4,1,111,1541
4,2,112,1555
4,3,130,1805
4,4,118,1638
4,5,109,1513
4,6,94,1305
4,7,98,1361
4,8,110,1527
4,9,97,1347
4,10,132,1833
4,11,134,1861
4,12,122,1694
4,13,76,1055
4,14,110,1527
4,15,98,1361
4,16,76,1055
4,17,124,1722
4,18,110,1527
4,19,91,1263
4,20,128,1777
4,21,137,1902
4,22,118,1638
4,23,134,1861
4,24,141,1958
4,25,122,1694
4,26,116,1611
4,27,94,1305
4,28,122,1694
4,29,92,1277
4,30,94,1305
4,31,94,1305
4,32,114,1583
4,33,89,1236
4,34,155,2152
4,35,116,1611
4,36,134,1861
4,37,94,1305
4,38,115,1597
4,39,100,1388
4,40,115,1597
4,41,120,1666
4,42,84,1166
4,43,142,1972
4,44,118,1638
5,0,114,1583
5,1,105,1458
5,2,116,1611
5,3,101,1402
5,4,102,1416
5,5,80,1111
5,6,121,1680
5,7,129,1791
5,8,90,1250
5,9,154,2138
5,10,83,1152
