cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
696,1,2,2,2,2,72000000
697,1,6,6,6,6,72000000
698,1,5,5,5,5,72000000
699,1,7,7,7,7,72000000
700,1,5,5,5,5,72000000
701,1,6,6,6,6,72000000
702,1,5,5,5,5,72000000
703,1,7,7,7,7,72000000
704,1,5,5,5,5,72000000
705,1,6,6,6,6,72000000
706,1,9,9,9,9,72000000
707,1,5,5,5,5,72000000
708,1,7,7,7,7,72000000
709,1,8,8,8,8,72000000
710,1,6,6,6,6,72000000
711,1,4,4,4,4,72000000
712,1,6,6,6,6,72000000
713,1,8,8,8,8,72000000
714,1,9,9,9,9,72000000
715,1,4,4,4,4,72000000
716,1,4,4,4,4,72000000
717,1,10,10,10,10,72000000
718,1,5,5,5,5,72000000
719,1,9,9,9,9,72000000
720,1,12,12,12,12,72000000
721,1,11,11,11,11,72000000
722,1,7,7,7,7,72000000
723,1,7,7,7,7,72000000
724,1,8,8,8,8,72000000
725,1,3,3,3,3,72000000
726,1,8,8,8,8,72000000
727,1,5,5,5,5,72000000
728,1,5,5,5,5,72000000
729,1,7,7,7,7,72000000
730,1,8,8,8,8,72000000
731,1,7,7,7,7,72000000
732,1,7,7,7,7,72000000
733,1,13,13,13,13,72000000
734,1,4,4,4,4,72000000
735,1,7,7,7,7,72000000
736,1,2,2,2,2,72000000
737,1,5,5,5,5,72000000
738,1,12,12,12,12,72000000
739,1,2,2,2,2,72000000
740,1,9,9,9,9,72000000
741,1,9,9,9,9,72000000
742,1,3,3,3,3,72000000
743,1,7,7,7,7,72000000
744,1,5,5,5,5,72000000
745,1,4,4,4,4,72000000
746,1,8,8,8,8,72000000
747,1,6,6,6,6,72000000
748,1,5,5,5,5,72000000
749,1,8,8,8,8,72000000
750,1,3,3,3,3,72000000
751,1,15,15,15,15,72000000
752,1,4,4,4,4,72000000
753,1,6,6,6,6,72000000
754,1,6,6,6,6,72000000
755,1,12,12,12,12,72000000
756,1,3,3,3,3,72000000
757,1,8,8,8,8,72000000
758,1,7,7,7,7,72000000
759,1,3,3,3,3,72000000
760,1,10,10,10,10,72000000
761,1,7,7,7,7,72000000
762,1,3,3,3,3,72000000
763,1,7,7,7,7,72000000
764,1,9,9,9,9,72000000
765,1,15,15,15,15,72000000
766,1,4,4,4,4,72000000
767,1,4,4,4,4,72000000
768,1,6,6,6,6,72000000
769,1,4,4,4,4,72000000
770,1,11,11,11,11,72000000
771,1,10,10,10,10,72000000
772,1,7,7,7,7,72000000
773,1,6,6,6,6,72000000
774,1,8,8,8,8,72000000
775,1,3,3,3,3,72000000
776,1,12,12,12,12,72000000
777,1,6,6,6,6,72000000
778,1,7,7,7,7,72000000
779,1,8,8,8,8,72000000
780,1,7,7,7,7,72000000
781,1,5,5,5,5,72000000
782,1,0,0,0,0,72000000
783,1,4,4,4,4,72000000
784,1,5,5,5,5,72000000
785,1,3,3,3,3,72000000
786,1,6,6,6,6,72000000
787,1,8,8,8,8,72000000
788,1,6,6,6,6,72000000
789,1,5,5,5,5,72000000
790,1,5,5,5,5,72000000
791,1,3,3,3,3,72000000
792,1,9,9,9,9,72000000
793,1,4,4,4,4,72000000
794,1,5,5,5,5,72000000
795,1,8,8,8,8,72000000
796,1,3,3,3,3,72000000
797,1,7,7,7,7,72000000
798,1,7,7,7,7,72000000
799,1,4,4,4,4,72000000
800,1,9,9,9,9,72000000
801,1,6,6,6,6,72000000
802,1,3,3,3,3,72000000
803,1,4,4,4,4,72000000
804,1,8,8,8,8,72000000
805,1,4,4,4,4,72000000
806,1,3,3,3,3,72000000
807,1,9,9,9,9,72000000
808,1,6,6,6,6,72000000
809,1,2,2,2,2,72000000
810,1,7,7,7,7,72000000
811,1,4,4,4,4,72000000
812,1,8,8,8,8,72000000
813,1,5,5,5,5,72000000
814,1,7,7,7,7,72000000
815,1,5,5,5,5,72000000
816,1,5,5,5,5,72000000
817,1,6,6,6,6,72000000
818,1,5,5,5,5,72000000
819,1,6,6,6,6,72000000
820,1,6,6,6,6,72000000
821,1,10,10,10,10,72000000
822,1,2,2,2,2,72000000
823,1,8,8,8,8,72000000
824,1,7,7,7,7,72000000
825,1,1,1,1,1,72000000
826,1,8,8,8,8,72000000
827,1,5,5,5,5,72000000
828,1,9,9,9,9,72000000
829,1,6,6,6,6,72000000
830,1,6,6,6,6,72000000
831,1,6,6,6,6,72000000
832,1,7,7,7,7,72000000
833,1,1,1,1,1,72000000
834,1,5,5,5,5,72000000
835,1,6,6,6,6,72000000
836,1,10,10,10,10,72000000
837,1,8,8,8,8,72000000
838,1,4,4,4,4,72000000
839,1,7,7,7,7,72000000
840,1,5,5,5,5,72000000
841,1,6,6,6,6,72000000
842,1,7,7,7,7,72000000
843,1,7,7,7,7,72000000
844,1,4,4,4,4,72000000
845,1,7,7,7,7,72000000
846,1,3,3,3,3,72000000
847,1,5,5,5,5,72000000
848,1,6,6,6,6,72000000
849,1,8,8,8,8,72000000
850,1,11,11,11,11,72000000
851,1,8,8,8,8,72000000
852,1,7,7,7,7,72000000
853,1,11,11,11,11,72000000
854,1,6,6,6,6,72000000
855,1,4,4,4,4,72000000
856,1,5,5,5,5,72000000
857,1,14,14,14,14,72000000
858,1,3,3,3,3,72000000
859,1,7,7,7,7,72000000
860,1,9,9,9,9,72000000
