cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
464,1,89,89,89,89,
465,1,80,80,80,80,
466,1,90,90,90,90,
467,1,85,85,85,85,
468,1,96,96,96,96,
469,1,93,93,93,93,
470,1,97,97,97,97,
471,1,82,82,82,82,
472,1,68,68,68,68,
473,1,84,84,84,84,
474,1,83,83,83,83,
475,1,96,96,96,96,
476,1,78,78,78,78,
477,1,82,82,82,82,
478,1,91,91,91,91,
479,1,82,82,82,82,
480,1,72,72,72,72,
481,1,89,89,89,89,
482,1,81,81,81,81,
483,1,92,92,92,92,
484,1,93,93,93,93,
485,1,73,73,73,73,
486,1,85,85,85,85,
487,1,88,88,88,88,
488,1,93,93,93,93,
489,1,82,82,82,82,
490,1,82,82,82,82,
491,1,79,79,79,79,
492,1,74,74,74,74,
493,1,85,85,85,85,
494,1,95,95,95,95,
495,1,68,68,68,68,
496,1,93,93,93,93,
497,1,94,94,94,94,
498,1,91,91,91,91,
499,1,78,78,78,78,
500,1,75,75,75,75,
501,1,90,90,90,90,
502,1,75,75,75,75,
503,1,89,89,89,89,
504,1,85,85,85,85,
505,1,74,74,74,74,
506,1,76,76,76,76,
507,1,74,74,74,74,
508,1,70,70,70,70,
509,1,80,80,80,80,
510,1,69,69,69,69,
511,1,88,88,88,88,
512,1,77,77,77,77,
513,1,84,84,84,84,
514,1,70,70,70,70,
515,1,90,90,90,90,
516,1,94,94,94,94,
517,1,71,71,71,71,
518,1,76,76,76,76,
519,1,67,67,67,67,
520,1,94,94,94,94,
521,1,66,66,66,66,
522,1,86,86,86,86,
523,1,75,75,75,75,
524,1,90,90,90,90,
525,1,95,95,95,95,
526,1,87,87,87,87,
527,1,70,70,70,70,
528,1,88,88,88,88,
529,1,87,87,87,87,
530,1,84,84,84,84,
531,1,74,74,74,74,
532,1,75,75,75,75,
533,1,93,93,93,93,
534,1,84,84,84,84,
535,1,80,80,80,80,
536,1,90,90,90,90,
537,1,99,99,99,99,
538,1,87,87,87,87,
539,1,81,81,81,81,
540,1,79,79,79,79,
541,1,83,83,83,83,
542,1,83,83,83,83,
543,1,83,83,83,83,
544,1,76,76,76,76,
545,1,89,89,89,89,
546,1,91,91,91,91,
547,1,97,97,97,97,
548,1,81,81,81,81,
549,1,85,85,85,85,
550,1,82,82,82,82,
551,1,79,79,79,79,
552,1,76,76,76,76,
553,1,90,90,90,90,
554,1,80,80,80,80,
555,1,84,84,84,84,
556,1,62,62,62,62,
557,1,75,75,75,75,
558,1,75,75,75,75,
559,1,85,85,85,85,
560,1,85,85,85,85,
561,1,92,92,92,92,
562,1,92,92,92,92,
563,1,89,89,89,89,
564,1,75,75,75,75,
565,1,78,78,78,78,
566,1,82,82,82,82,
567,1,75,75,75,75,
568,1,79,79,79,79,
569,1,90,90,90,90,
570,1,95,95,95,95,
571,1,87,87,87,87,
572,1,80,80,80,80,
573,1,90,90,90,90,
574,1,99,99,99,99,
575,1,84,84,84,84,
576,1,95,95,95,95,
577,1,98,97,97,97,
578,1,78,78,78,78,
579,1,76,76,76,76,
580,1,80,80,80,80,
581,1,88,88,88,88,
582,1,89,89,89,89,
583,1,91,91,91,91,
584,1,83,83,83,83,
585,1,83,83,83,83,
586,1,91,91,91,91,
587,1,87,87,87,87,
588,1,88,88,88,88,
589,1,94,94,94,94,
590,1,84,84,84,84,
591,1,103,103,103,103,
592,1,77,77,77,77,
593,1,80,80,80,80,
594,1,84,84,84,84,
595,1,72,72,72,72,
596,1,92,92,92,92,
597,1,90,90,90,90,
598,1,79,79,79,79,
