cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
21,14,172,2388.0
21,15,175,2430.0
22,0,179,2486.0
22,1,162,2250.0
22,2,191,2652.0
22,3,138,1916.0
22,4,210,2916.0
22,5,209,2902.0
22,6,205,2847.0
22,7,120,1666.0
22,8,137,1902.0
22,9,210,2916.0
22,10,203,2819.0
22,11,194,2694.0
22,12,203,2819.0
22,13,200,2777.0
22,14,202,2805.0
22,15,178,2472.0
22,16,199,2763.0
22,17,157,2180.0
23,0,137,1902.0
23,1,157,2180.0
23,2,133,1847.0
23,3,137,1902.0
23,4,213,2958.0
23,5,197,2736.0
23,6,157,2180.0
23,7,204,2833.0
23,8,202,2805.0
23,9,201,2791.0
23,10,159,2208.0
23,11,195,2708.0
23,12,165,2291.0
23,13,210,2916.0
23,14,155,2152.0
23,15,168,2333.0
23,16,188,2611.0
23,17,202,2805.0
23,18,169,2347.0
23,19,201,2791.0
23,20,135,1875.0
23,21,152,2111.0
23,22,183,2541.0
23,23,197,2736.0
24,0,204,2833.0
24,1,137,1902.0
24,2,174,2416.0
24,3,158,2194.0
24,4,129,1791.0
24,5,136,1888.0
24,6,206,2861.0
24,7,190,2638.0
24,8,198,2750.0
24,9,196,2722.0
24,10,181,2513.0
24,11,195,2708.0
24,12,175,2430.0
24,13,157,2180.0
24,14,136,1888.0
24,15,202,2805.0
24,16,157,2180.0
24,17,199,2763.0
25,0,194,2694.0
25,1,199,2763.0
25,2,146,2027.0
25,3,140,1944.0
25,4,188,2611.0
25,5,200,2777.0
25,6,168,2333.0
25,7,158,2194.0
25,8,155,2152.0
25,9,143,1986.0
25,10,190,2638.0
25,11,209,2902.0
25,12,158,2194.0
25,13,142,1972.0
25,14,150,2083.0
25,15,108,1500.0
25,16,206,2861.0
25,17,193,2680.0
25,18,202,2805.0
26,0,211,2930.0
26,1,203,2819.0
26,2,185,2569.0
26,3,200,2777.0
26,4,209,2902.0
26,5,166,2305.0
26,6,148,2055.0
26,7,131,1819.0
26,8,206,2861.0
26,9,191,2652.0
26,10,193,2680.0
26,11,209,2902.0
26,12,136,1888.0
26,13,139,1930.0
26,14,198,2750.0
26,15,201,2791.0
26,16,199,2763.0
26,17,186,2583.0
26,18,183,2541.0
26,19,200,2777.0
26,20,197,2736.0
26,21,203,2819.0
26,22,192,2666.0
26,23,203,2819.0
26,24,197,2736.0
27,0,197,2736.0
27,1,200,2777.0
27,2,137,1902.0
27,3,151,2097.0
27,4,185,2569.0
27,5,137,1902.0
27,6,188,2611.0
27,7,198,2750.0
27,8,200,2777.0
27,9,147,2041.0
27,10,209,2902.0
27,11,205,2847.0
27,12,183,2541.0
27,13,161,2236.0
27,14,155,2152.0
28,0,198,2750.0
28,1,206,2861.0
28,2,123,1708.0
28,3,160,2222.0
28,4,157,2180.0
28,5,142,1972.0
28,6,174,2416.0
28,7,201,2791.0
28,8,194,2694.0
28,9,200,2777.0
28,10,204,2833.0
28,11,174,2416.0
28,12,204,2833.0
28,13,130,1805.0
29,0,142,1972.0
29,1,156,2166.0
29,2,138,1916.0
29,3,171,2375.0
29,4,192,2666.0
29,5,178,2472.0
29,6,185,2569.0
29,7,156,2166.0
29,8,191,2652.0
29,9,184,2555.0
29,10,191,2652.0
29,11,200,2777.0
29,12,208,2888.0
29,13,154,2138.0
29,14,204,2833.0
29,15,193,2680.0
29,16,200,2777.0
29,17,193,2680.0
29,18,198,2750.0
29,19,176,2444.0
30,0,203,2819.0
30,1,194,2694.0
30,2,197,2736.0
30,3,143,1986.0
30,4,190,2638.0
30,5,154,2138.0
30,6,198,2750.0
30,7,181,2513.0
30,8,204,2833.0
30,9,169,2347.0
30,10,188,2611.0
30,11,123,1708.0
30,12,146,2027.0
30,13,198,2750.0
30,14,153,2125.0
30,15,200,2777.0
30,16,138,1916.0
30,17,193,2680.0
30,18,206,2861.0
30,19,189,2625.0
30,20,141,1958.0
30,21,169,2347.0
30,22,142,1972.0
30,23,203,2819.0
30,24,188,2611.0
30,25,191,2652.0
31,0,188,2611.0
31,1,138,1916.0
31,2,160,2222.0
31,3,152,2111.0
31,4,181,2513.0
31,5,196,2722.0
31,6,205,2847.0
31,7,202,2805.0
31,8,189,2625.0
31,9,180,2500.0
31,10,191,2652.0
31,11,150,2083.0
31,12,199,2763.0
31,13,194,2694.0
31,14,181,2513.0
31,15,190,2638.0
31,16,190,2638.0
31,17,189,2625.0
32,0,204,2833.0
32,1,197,2736.0
32,2,209,2902.0
32,3,142,1972.0
32,4,195,2708.0
32,5,192,2666.0
32,6,134,1861.0
32,7,218,3027.0
32,8,192,2666.0
32,9,144,2000.0
32,10,137,1902.0
32,11,108,1500.0
32,12,199,2763.0
32,13,196,2722.0
32,14,149,2069.0
32,15,193,2680.0
32,16,152,2111.0
32,17,125,1736.0
32,18,162,2250.0
32,19,203,2819.0
32,20,140,1944.0
32,21,219,3041.0
32,22,124,1722.0
32,23,206,2861.0
32,24,134,1861.0
32,25,141,1958.0
32,26,164,2277.0
32,27,167,2319.0
33,0,179,2486.0
33,1,203,2819.0
33,2,201,2791.0
33,3,156,2166.0
33,4,210,2916.0
33,5,168,2333.0
33,6,167,2319.0
33,7,182,2527.0
33,8,184,2555.0
33,9,184,2555.0
33,10,144,2000.0
33,11,179,2486.0
33,12,171,2375.0
33,13,173,2402.0
33,14,153,2125.0
33,15,140,1944.0
33,16,140,1944.0
34,0,184,2555.0
34,1,192,2666.0
34,2,188,2611.0
34,3,206,2861.0
34,4,186,2583.0
34,5,152,2111.0
34,6,168,2333.0
34,7,206,2861.0
34,8,146,2027.0
34,9,197,2736.0
34,10,132,1833.0
34,11,174,2416.0
34,12,140,1944.0
34,13,200,2777.0
34,14,173,2402.0
34,15,180,2500.0
34,16,139,1930.0
34,17,128,1777.0
34,18,194,2694.0
34,19,169,2347.0
35,0,188,2611.0
35,1,147,2041.0
35,2,195,2708.0
35,3,187,2597.0
35,4,185,2569.0
35,5,200,2777.0
35,6,205,2847.0
35,7,193,2680.0
35,8,147,2041.0
35,9,203,2819.0
35,10,198,2750.0
35,11,206,2861.0
35,12,193,2680.0
35,13,186,2583.0
35,14,178,2472.0
35,15,203,2819.0
35,16,193,2680.0
35,17,154,2138.0
35,18,205,2847.0
35,19,200,2777.0
35,20,188,2611.0
35,21,194,2694.0
35,22,195,2708.0
35,23,203,2819.0
36,0,154,2138.0
